76794,41.0
42128,10.0
332351,10.0
330856,10.0
230330,10.0
338767,26.0
132987,10.0
172465,10.0
207746,10.0
157915,10.0
152852,10.0
236467,10.0
47467,10.0
65142,10.0
125381,20.0
354172,10.0
174779,10.0
18441,10.0
62657,20.0
103127,18.0
316778,10.0
218384,10.0
339682,10.0
184233,10.0
241364,10.0
358418,10.0
344136,10.0
222643,10.0
129264,10.0
112821,10.0
42939,20.0
294806,10.0
113779,10.0
153471,10.0
135546,10.0
233065,10.0
356601,19.0
147411,10.0
87956,10.0
198484,10.0
222006,10.0
298169,10.0
174672,10.0
78074,12.0
338829,11.0
200347,16.0
196529,10.0
267992,10.0
142205,10.0
169735,10.0
87152,10.0
173523,14.0
247797,10.0
26840,10.0
128595,10.0
185193,10.0
164952,10.0
123458,10.0
512,10.0
242277,10.0
202204,10.0
173288,19.0
213217,10.0
313144,10.0
83085,20.0
270826,10.0
55783,20.0
352937,10.0
894,20.0
40261,10.0
107727,10.0
182074,10.0
271813,10.0
245823,10.0
238357,10.0
273817,10.0
42521,18.0
194045,20.0
45243,10.0
114167,10.0
59831,10.0
249636,10.0
3018,20.0
355987,10.0
303624,10.0
159575,10.0
63895,10.0
215418,10.0
220635,10.0
317342,10.0
216512,10.0
183903,19.0
194907,10.0
139641,10.0
306877,10.0
29558,20.0
199026,10.0
311147,10.0
324820,10.0
105936,11.0
4004,22.08
71245,10.0
28356,10.0
43311,10.0
6242,41.0
325896,10.0
245175,10.0
177495,10.0
211017,10.0
84172,14.0
185229,10.0
323385,10.0
24023,10.0
318570,10.0
8264,24.0
268155,15.0
201197,11.0
346346,10.0
286615,10.0
11509,17.69
290539,10.0
257435,10.0
321048,10.0
70,20.0
274041,16.0
289861,10.0
270119,10.0
247722,10.0
191267,10.0
195784,10.0
233569,10.0
302650,10.0
7043,18.0
99127,20.0
285742,10.0
308453,10.0
90852,10.0
92657,10.0
67981,10.0
90860,16.0
257029,10.0
321591,10.0
228781,10.0
44298,18.0
315524,10.0
61078,10.0
86737,10.0
174728,10.0
190978,10.0
200309,10.0
315061,10.0
1532,20.0
124579,10.0
297456,10.0
280082,10.0
223040,10.0
318924,20.0
289127,10.0
350195,10.0
39806,10.0
117263,10.0
189347,10.0
66476,10.0
313717,20.0
24924,37.0
238432,10.0
143941,10.0
220220,10.0
267057,10.0
134373,15.0
173912,10.0
106736,10.0
137328,10.0
112315,20.0
241267,10.0
235593,10.0
323634,10.0
126112,10.0
31608,10.0
259291,10.0
227597,10.0
175116,10.0
95569,10.0
238999,16.0
120082,10.0
88464,10.0
180300,10.0
37500,18.0
92625,10.0
117168,10.0
328044,10.0
63560,10.0
338904,10.0
237232,10.0
270691,10.0
93922,23.0
61425,10.0
331186,10.0
7590,10.0
297943,10.0
328679,10.0
136814,14.0
217945,10.0
95058,10.0
5578,20.0
324969,20.0
273704,10.0
290287,10.0
342406,10.0
261214,15.0
88704,11.0
304424,10.0
275527,10.0
347448,18.0
85671,24.0
155953,10.0
200851,10.0
176362,10.0
101298,10.0
169822,15.0
186745,20.0
336801,10.0
252741,10.0
260731,10.0
351491,20.0
128116,10.0
231416,10.0
303136,10.0
240085,10.0
163561,10.0
298907,10.0
101894,10.0
201213,11.0
82598,20.0
167556,10.0
305599,10.0
112566,10.0
286673,10.0
38924,10.0
158285,10.0
331132,10.0
320521,10.0
340640,10.0
49036,20.0
276014,10.0
16424,10.0
22995,10.0
320313,10.0
245738,10.0
247810,10.0
108526,15.0
204574,10.0
73329,18.0
105063,18.0
200357,10.0
354553,15.0
299842,10.0
196842,10.0
279604,10.0
154561,10.0
74540,10.0
166804,10.0
28364,20.0
127659,10.0
269584,10.0
180017,10.0
158588,10.0
160741,10.0
140377,10.0
361519,10.0
319146,10.0
199965,20.0
2835,38.94
17899,10.0
72238,10.0
23878,15.0
71122,10.0
214947,10.0
313448,10.0
309102,14.0
258407,15.0
189164,10.0
71273,10.0
151653,10.0
252296,10.0
63555,10.0
326920,20.0
18624,10.0
120149,11.0
352325,10.0
325766,10.0
203006,10.0
272106,15.0
1927,20.0
315915,10.0
149150,10.0
218713,10.0
48552,9.98
362734,11.0
158188,10.0
273821,10.0
258171,15.0
38003,20.0
3743,10.0
35907,10.0
128092,10.0
318913,10.0
190909,10.0
231847,10.0
163584,17.0
307511,10.0
300459,10.0
276383,10.0
231576,10.0
120340,10.0
94685,19.0
149034,10.0
238032,10.0
147162,20.0
255613,10.0
140749,12.0
34012,10.0
296712,10.0
10279,30.0
213046,10.0
326152,10.0
58833,10.0
115818,10.0
